"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 24 00:14:00 EEST 2026","Sun May 24 00:14:00 EEST 2026","463","Transactions Module","Transactions Tests","com.apiautomation.tests.admin.transactions.AdminTransactionsQueryApiTest","com.apiautomation.tests.admin.transactions.AdminTransactionsQueryApiTest","filtering_byType_returnsMatchingRecords","filtering_byType_returnsMatchingRecords","filter[type] returns only matching transaction type when data exists"
"passed","Sun May 24 00:12:57 EEST 2026","Sun May 24 00:12:57 EEST 2026","396","Transactions Module","Transactions Tests","com.apiautomation.tests.admin.transactions.AdminTransactionDeleteApiTest","com.apiautomation.tests.admin.transactions.AdminTransactionDeleteApiTest","deleteTransaction_nonNumericId_returns404","deleteTransaction_nonNumericId_returns404","DELETE non-numeric ID returns 404"
"passed","Sun May 24 00:17:14 EEST 2026","Sun May 24 00:17:15 EEST 2026","515","Payment Issues Module","Payment Issues Tests","com.apiautomation.tests.admin.paymentissues.AdminPaymentIssuesQueryApiTest","com.apiautomation.tests.admin.paymentissues.AdminPaymentIssuesQueryApiTest","filtering_byDateRange_returnsRecordsInRange","filtering_byDateRange_returnsRecordsInRange","US-3.9: filter[date_from] and filter[date_to] constrain created_at"
"passed","Sun May 24 00:15:46 EEST 2026","Sun May 24 00:15:47 EEST 2026","823","Wallets Module","Wallets Tests","com.apiautomation.tests.admin.wallets.AdminWalletAdjustApiTest","com.apiautomation.tests.admin.wallets.AdminWalletAdjustApiTest","adjust_decreaseInsufficientBalance_returns422","adjust_decreaseInsufficientBalance_returns422","Decrease exceeding balance returns 422"
"passed","Sun May 24 00:14:40 EEST 2026","Sun May 24 00:14:41 EEST 2026","382","Transactions Module","Transactions Tests","com.apiautomation.tests.admin.transactions.AdminTransactionStatisticsApiTest","com.apiautomation.tests.admin.transactions.AdminTransactionStatisticsApiTest","shouldNotFailOnSqlInjectionInDateFilters","shouldNotFailOnSqlInjectionInDateFilters","SQL injection in date filters does not cause 500"
"passed","Sun May 24 00:17:26 EEST 2026","Sun May 24 00:17:27 EEST 2026","522","Payment Issues Module","Payment Issues Tests","com.apiautomation.tests.admin.paymentissues.AdminPaymentIssuesSummaryApiTest","com.apiautomation.tests.admin.paymentissues.AdminPaymentIssuesSummaryApiTest","filtering_byType","filtering_byType","filter[type] for each supported issue type"
"passed","Sun May 24 00:15:28 EEST 2026","Sun May 24 00:15:29 EEST 2026","419","Refunds Module","Refunds Tests","com.apiautomation.tests.admin.refunds.AdminRefundsSummaryApiTest","com.apiautomation.tests.admin.refunds.AdminRefundsSummaryApiTest","filtering_byStatus","filtering_byStatus","filter[status] for each supported status"
"passed","Sun May 24 00:13:06 EEST 2026","Sun May 24 00:13:07 EEST 2026","506","Transactions Module","Transactions Tests","com.apiautomation.tests.admin.transactions.AdminTransactionsApiTest","com.apiautomation.tests.admin.transactions.AdminTransactionsApiTest","shouldReturn200WhenListingTransactionsWithValidToken","shouldReturn200WhenListingTransactionsWithValidToken","GET /v1/admin/transactions returns 200 with valid admin token"
"passed","Sun May 24 00:13:19 EEST 2026","Sun May 24 00:13:20 EEST 2026","632","Transactions Module","Transactions Tests","com.apiautomation.tests.admin.transactions.AdminTransactionsExportApiTest","com.apiautomation.tests.admin.transactions.AdminTransactionsExportApiTest","sorting_allFieldsAccepted","sorting_allFieldsAccepted","Each sort field is accepted on export endpoint"
"passed","Sun May 24 00:15:36 EEST 2026","Sun May 24 00:15:36 EEST 2026","406","Refunds Module","Refunds Tests","com.apiautomation.tests.admin.refunds.AdminRefundsSummaryApiTest","com.apiautomation.tests.admin.refunds.AdminRefundsSummaryApiTest","filtering_byCurrencyEgp","filtering_byCurrencyEgp","filter[currency]=EGP"
"passed","Sun May 24 00:16:52 EEST 2026","Sun May 24 00:16:54 EEST 2026","1363","Payment Issues Module","Payment Issues Tests","com.apiautomation.tests.admin.paymentissues.AdminPaymentIssuesExportApiTest","com.apiautomation.tests.admin.paymentissues.AdminPaymentIssuesExportApiTest","filtering_byPaymentMethod","filtering_byPaymentMethod","filter[payment_method] — CSV Payment Method column matches"
"passed","Sun May 24 00:14:03 EEST 2026","Sun May 24 00:14:04 EEST 2026","450","Transactions Module","Transactions Tests","com.apiautomation.tests.admin.transactions.AdminTransactionsQueryApiTest","com.apiautomation.tests.admin.transactions.AdminTransactionsQueryApiTest","filtering_byUserId_returnsValidResponse","filtering_byUserId_returnsValidResponse","filter[user_id] returns valid response"
"passed","Sun May 24 00:13:54 EEST 2026","Sun May 24 00:13:55 EEST 2026","993","Transactions Module","Transactions Tests","com.apiautomation.tests.admin.transactions.AdminTransactionsQueryApiTest","com.apiautomation.tests.admin.transactions.AdminTransactionsQueryApiTest","sorting_validFields_returnSortedData","sorting_validFields_returnSortedData","Each supported sort field works in ASC and DESC"
"passed","Sun May 24 00:11:23 EEST 2026","Sun May 24 00:11:23 EEST 2026","554","Subscriptions Module","Subscriptions Tests","com.apiautomation.tests.admin.subscriptions.AdminPreviewPlanChangeApiTest","com.apiautomation.tests.admin.subscriptions.AdminPreviewPlanChangeApiTest","previewPlanChange_zeroPlanId_returns422","previewPlanChange_zeroPlanId_returns422","Zero new_plan_id returns 422"
